"","Country","lifeExp","GNI","educationExp","birthRate","mortality","repr.parliament","eduRatio","labourRatio"
"Philippines","Philippines",68.2,"7,915",11.3,46.8,120,27.1,1.03453689167975,0.641154328732748
"El Salvador","El Salvador",73,"7,349",12.3,76,69,27.4,0.844036697247706,0.605063291139241
"South Africa","South Africa",57.4,"12,122",13.6,50.9,140,40.7,0.957839262187088,0.735537190082645
"Viet Nam","Viet Nam",75.8,"5,092",11.9,29,49,24.3,0.834269662921348,0.888077858880779
"Bolivia (Plurinational State of)","Bolivia (Plurinational State of)",68.3,"5,760",13.2,71.9,200,51.8,0.805414551607445,0.793572311495674
"Kyrgyzstan","Kyrgyzstan",70.6,"3,044",12.5,29.3,75,23.3,0.976239669421488,0.70440251572327
"Iraq","Iraq",69.4,"14,003",10.1,68.7,67,26.5,0.553784860557769,0.213467048710602
"Guyana","Guyana",66.4,"6,522",10.3,88.5,250,31.3,1.26150627615063,0.529192546583851
"Nicaragua","Nicaragua",74.9,"4,457",11.5,100.8,100,39.1,1.02872062663185,0.590286425902864
"Morocco","Morocco",74,"6,850",11.6,35.8,120,11,0.685430463576159,0.349604221635884
"Namibia","Namibia",64.8,"9,418",11.3,54.9,130,37.7,0.968023255813953,0.858712715855573
"Guatemala","Guatemala",71.8,"6,929",10.7,97.2,140,13.3,0.943965517241379,0.558956916099773
"Tajikistan","Tajikistan",69.4,"2,517",11.2,42.8,44,15.2,1.04276315789474,0.763942931258106
"India","India",68,"5,497",11.7,32.8,190,12.2,0.477031802120141,0.337922403003755
"Honduras","Honduras",73.1,"3,938",11.1,84,120,25.8,1.08527131782946,0.516284680337756
"Bhutan","Bhutan",69.5,"7,176",12.6,40.9,120,8.3,0.985507246376812,0.863989637305699
"Syrian Arab Republic","Syrian Arab Republic",69.6,"2,728",12.3,41.6,49,12.4,0.728395061728395,0.185694635488308
"Congo","Congo",62.3,"6,012",11.1,126.7,410,11.5,0.84468085106383,0.938356164383562
"Zambia","Zambia",60.1,"3,734",13.5,125.4,280,12.7,0.586363636363636,0.853971962616822
"Ghana","Ghana",61.4,"3,852",11.5,58.4,380,10.9,0.698608964451314,0.942577030812325
