"","JHLLT","JLKMOVE","JHSPRBQ","JGHQD","JGHQF","JGHQH","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JGHQC","JVOTE7","JLFSATO"
"210",2,2,2,2,1,2,2,1,2,2,2,3,1,4
"211",2,2,1,2,1,2,2,2,2,1,1,2,2,6
"212",1,2,1,2,2,2,2,2,2,1,1,2,2,3
"213",2,2,1,2,3,3,2,1,2,1,2,2,2,5
"214",2,2,2,2,2,2,2,1,2,1,2,2,2,3
"215",2,2,2,2,2,2,2,1,2,1,2,2,2,5
"216",2,2,1,2,3,2,2,1,2,1,2,2,2,5
"217",2,1,1,2,2,3,2,1,2,1,2,1,1,6
"218",2,2,2,1,1,1,2,1,2,1,2,1,1,5
"219",2,2,1,2,2,2,2,1,2,1,2,2,2,5
"220",2,1,1,2,2,2,2,1,2,1,2,2,2,5
"221",2,1,2,2,2,2,2,1,2,2,1,2,1,5
"222",2,1,2,2,2,2,2,1,2,2,1,2,1,5
"223",2,2,2,2,2,2,2,1,2,2,2,2,3,4
"224",2,1,2,2,2,2,2,1,2,2,2,2,2,5
"225",2,1,2,2,2,2,2,2,2,2,1,2,2,3
"226",2,1,2,2,2,2,2,2,2,2,1,2,2,6
"227",1,1,2,2,2,3,2,1,2,1,2,2,2,4
"228",2,2,2,2,3,2,2,2,2,1,2,3,2,4
"229",1,2,1,1,2,1,2,1,2,1,1,2,1,5
"230",2,2,1,2,3,3,2,1,2,1,1,2,1,4
"231",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"232",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"233",2,1,2,2,1,2,2,1,2,1,1,2,2,4
"234",2,2,2,2,1,2,2,1,2,1,1,2,2,5
"235",1,1,2,1,1,1,2,1,2,1,1,2,2,4
"236",2,1,2,3,2,2,2,2,2,1,2,3,3,7
"237",1,2,2,1,1,1,2,1,2,1,2,1,1,5
"238",1,1,2,3,4,3,2,1,2,1,2,3,1,5
"239",2,2,2,2,2,2,2,1,2,1,2,2,2,3
"240",2,1,2,1,2,2,2,1,2,1,2,1,2,5
"241",2,1,2,2,2,2,2,1,2,1,2,2,1,5
"242",2,2,2,2,2,2,2,1,2,1,1,2,2,4
"243",1,2,2,2,1,2,2,1,2,1,1,2,2,3
"244",2,1,2,1,2,1,2,1,2,1,1,2,3,6
"245",2,2,1,2,2,2,2,1,2,1,2,2,2,5
"246",2,2,1,1,2,2,2,1,2,1,2,1,2,5
"247",2,2,2,2,3,2,2,1,2,2,1,2,1,7
"248",2,1,2,1,1,1,2,1,2,2,1,2,2,6
"249",1,2,1,2,2,2,2,1,2,1,2,2,1,3
"250",2,1,2,2,2,2,2,2,2,2,2,2,2,4
"251",1,1,1,2,2,2,2,1,2,1,2,2,1,3
"252",2,1,1,2,4,4,2,1,2,1,2,4,1,3
"253",2,1,2,2,3,2,2,1,2,1,2,4,2,2
"254",1,2,2,2,2,2,2,1,2,1,2,3,1,4
"255",2,1,2,2,3,2,2,1,2,1,1,2,1,4
"256",2,1,2,3,3,1,2,1,2,1,1,2,1,4
"257",1,2,2,1,2,1,2,1,2,1,1,1,1,6
"258",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"259",2,1,2,1,2,1,2,1,2,1,2,1,1,5
"260",2,2,2,2,2,2,2,1,2,1,2,2,1,4
"261",1,2,2,4,3,3,2,1,2,1,2,4,3,1
"262",2,2,2,2,2,2,2,1,2,2,1,2,1,4
"263",2,2,2,2,2,2,2,1,2,1,1,2,1,4
"264",1,1,2,2,2,2,2,2,2,2,2,2,1,4
"265",1,1,2,2,3,2,2,2,2,2,2,3,1,5
"266",2,2,2,1,1,2,2,1,2,2,2,2,2,6
"267",2,1,2,2,3,2,2,1,2,2,1,2,2,3
"268",1,1,2,3,2,3,2,2,2,2,2,4,2,1
"269",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"270",2,2,2,2,3,3,2,1,2,1,2,1,2,6
"271",1,2,2,3,2,2,2,1,2,1,2,2,1,6
"272",2,1,2,2,1,2,2,1,2,1,1,2,1,5
"273",2,1,2,3,3,1,2,1,2,1,1,1,1,6
"274",2,2,2,2,2,2,2,1,2,2,1,1,1,5
